City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,275.4,75,0,3.09,CL,1723064385
1,atafu village,-8.5421,-172.5159,301.58,71,79,8.73,TK,1723064417
2,ilulissat,69.2167,-51.1,277.22,85,34,1.74,GL,1723064374
3,georgetown,5.4112,100.3354,300.11,79,20,1.03,MY,1723064517
4,ancud,-41.8697,-73.8203,281.63,75,3,0.5,CL,1723064790
5,utrik,11.2278,169.8474,301.5,76,95,5.73,MH,1723064432
6,onega,63.9061,38.1404,284.79,66,32,2.34,RU,1723064792
7,terme,41.2092,36.9739,297.11,93,10,2.34,TR,1723064794
8,stanley,54.868,-1.6985,287.92,77,0,3.09,GB,1723064410
9,tiksi,71.6872,128.8694,280.29,91,100,1.19,RU,1723064468
10,vadso,70.0744,29.7487,291.64,62,0,2.57,NO,1723064797
11,agua prieta,31.3,-109.5667,305.59,33,0,2.06,MX,1723064524
12,pisco,-13.7,-76.2167,293.18,64,20,6.69,PE,1723064563
13,salinopolis,-0.6136,-47.3561,300.3,79,70,4.89,BR,1723064739
14,amga,60.8953,131.9608,283.36,82,0,1.03,RU,1723064574
15,yellowknife,62.456,-114.3525,295.44,45,40,7.72,CA,1723064288
16,port-aux-francais,-49.35,70.2167,274.23,98,99,12.25,TF,1723064387
17,hawaiian paradise park,19.5933,-154.9731,300.87,76,46,1.79,US,1723064406
18,viedma,-40.8135,-62.9967,279.34,67,100,8.14,AR,1723064806
19,ribeira grande,38.5167,-28.7,299.37,65,20,2.06,PT,1723064382
20,ushuaia,-54.8,-68.3,275.94,69,0,2.06,AR,1723064297
21,kangding,30.0513,101.9603,290.8,94,100,0.86,CN,1723064810
22,undurkhaan,47.3194,110.6556,289.51,84,99,1.96,MN,1723064811
23,adamstown,-25.066,-130.1015,292.02,65,24,3.62,PN,1723064381
24,tralee,52.2704,-9.7026,287.24,94,98,1.93,IE,1723064813
25,dudinka,69.4058,86.1778,281.31,69,0,7.53,RU,1723064475
26,i-n-salah,27.1935,2.4607,309.89,11,0,7.65,DZ,1723064815
27,mudgee,-32.5943,149.5871,277.24,92,0,2.11,AU,1723064816
28,invercargill,-46.4,168.35,280.38,93,67,1.34,NZ,1723064788
29,avarua,-21.2078,-159.775,297.18,57,20,6.69,CK,1723064482
30,vorgashor,67.5833,63.95,279.63,76,9,2.3,RU,1723064413
31,berezovo,63.9381,65.0419,280.51,87,0,1.58,RU,1723064822
